company,score,towns_cities,counties,routes,tags,linkedin_company_search_url,linkedin_jobs_search_url,linkedin_recruiter_search_url,linkedin_hiring_manager_search_url,outreach_reason,connection_note
Taina Technology,108,['London'],['Work'],['Skilled Worker'],"['ai', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Taina+Technology,https://www.linkedin.com/jobs/search/?keywords=Taina+Technology+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Taina+Technology+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Taina+Technology+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed Taina Technology is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Taina Technology."
Container Solutions Software Ltd,104,['London'],['Wor'],['Skilled Worker'],"['ai', 'services', 'software', 'tech']",https://www.linkedin.com/search/results/companies/?keywords=Container+Solutions+Software+Ltd,https://www.linkedin.com/jobs/search/?keywords=Container+Solutions+Software+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Container+Solutions+Software+Ltd+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Container+Solutions+Software+Ltd+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed Container Solutions Software Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Container Solutions Software Ltd."
Telefonica Tech UK Data & AI Limited,100,['Farnham'],['Surrey Wo'],['Skilled Worker'],"['ai', 'data', 'tech']",https://www.linkedin.com/search/results/companies/?keywords=Telefonica+Tech+UK+Data+%26+AI+Limited,https://www.linkedin.com/jobs/search/?keywords=Telefonica+Tech+UK+Data+%26+AI+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Telefonica+Tech+UK+Data+%26+AI+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Telefonica+Tech+UK+Data+%26+AI+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in Farnham.,"Hi, I noticed Telefonica Tech UK Data & AI Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Telefonica Tech UK Data & AI Limited."
ARBO BIOTECHNOLOGY MAID,98,['ENHEAD'],['Worker (A'],"['Skilled Worker', 'UK Expansion Worker']","['ai', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=ARBO+BIOTECHNOLOGY+MAID,https://www.linkedin.com/jobs/search/?keywords=ARBO+BIOTECHNOLOGY+MAID+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=ARBO+BIOTECHNOLOGY+MAID+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=ARBO+BIOTECHNOLOGY+MAID+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in ENHEAD.,"Hi, I noticed ARBO BIOTECHNOLOGY MAID is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at ARBO BIOTECHNOLOGY MAID."
BRAIN BRIDGE TECHNOLOGY LIMITED,98,['Brentwood'],[],['Skilled Worker'],"['ai', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=BRAIN+BRIDGE+TECHNOLOGY+LIMITED,https://www.linkedin.com/jobs/search/?keywords=BRAIN+BRIDGE+TECHNOLOGY+LIMITED+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=BRAIN+BRIDGE+TECHNOLOGY+LIMITED+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=BRAIN+BRIDGE+TECHNOLOGY+LIMITED+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in Brentwood.,"Hi, I noticed BRAIN BRIDGE TECHNOLOGY LIMITED is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at BRAIN BRIDGE TECHNOLOGY LIMITED."
H. AI Technology Limited L,98,['ondon'],[],['Skilled Worker'],"['ai', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=H.+AI+Technology+Limited+L,https://www.linkedin.com/jobs/search/?keywords=H.+AI+Technology+Limited+L+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=H.+AI+Technology+Limited+L+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=H.+AI+Technology+Limited+L+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in ondon.,"Hi, I noticed H. AI Technology Limited L is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at H. AI Technology Limited L."
Kaifa Technology UK Limited,98,['Milton Keynes'],['Buckinghamshire Wor'],['Skilled Worker'],"['ai', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Kaifa+Technology+UK+Limited,https://www.linkedin.com/jobs/search/?keywords=Kaifa+Technology+UK+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Kaifa+Technology+UK+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Kaifa+Technology+UK+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in Milton Keynes.,"Hi, I noticed Kaifa Technology UK Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Kaifa Technology UK Limited."
OEE Container Technology Limited,98,['Carlisle'],['Cumbria W'],['Skilled Worker'],"['ai', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=OEE+Container+Technology+Limited,https://www.linkedin.com/jobs/search/?keywords=OEE+Container+Technology+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=OEE+Container+Technology+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=OEE+Container+Technology+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in Carlisle.,"Hi, I noticed OEE Container Technology Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at OEE Container Technology Limited."
Prevail Technology Limited,98,['Poole'],['Dorset W'],['Skilled Worker'],"['ai', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Prevail+Technology+Limited,https://www.linkedin.com/jobs/search/?keywords=Prevail+Technology+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Prevail+Technology+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Prevail+Technology+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in Poole.,"Hi, I noticed Prevail Technology Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Prevail Technology Limited."
Transforming Training with Technology Limited,98,['Hurn'],['Dorset Wor'],['Skilled Worker'],"['ai', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Transforming+Training+with+Technology+Limited,https://www.linkedin.com/jobs/search/?keywords=Transforming+Training+with+Technology+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Transforming+Training+with+Technology+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Transforming+Training+with+Technology+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in Hurn.,"Hi, I noticed Transforming Training with Technology Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Transforming Training with Techn"
Caiman Software Development Limited Banc,96,['hory Abe'],['rdeenshire Worker (A'],['Skilled Worker'],"['ai', 'software', 'tech']",https://www.linkedin.com/search/results/companies/?keywords=Caiman+Software+Development+Limited+Banc,https://www.linkedin.com/jobs/search/?keywords=Caiman+Software+Development+Limited+Banc+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Caiman+Software+Development+Limited+Banc+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Caiman+Software+Development+Limited+Banc+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in hory Abe.,"Hi, I noticed Caiman Software Development Limited Banc is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Caiman Software Development Limited B"
Datascan Retail Systems Ltd Coleshill,96,[],['Worker (A rat'],['Skilled Worker'],"['ai', 'data', 'systems', 'tech']",https://www.linkedin.com/search/results/companies/?keywords=Datascan+Retail+Systems+Ltd+Coleshill,https://www.linkedin.com/jobs/search/?keywords=Datascan+Retail+Systems+Ltd+Coleshill+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Datascan+Retail+Systems+Ltd+Coleshill+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Datascan+Retail+Systems+Ltd+Coleshill+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route.,"Hi, I noticed Datascan Retail Systems Ltd Coleshill is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Datascan Retail Systems Ltd Coleshill."
Innovation Technology and Business Solutions Limited,96,['London'],['Work'],"['Skilled Worker', 'al Business Mobility: Senior or Specialist Worker']","['services', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Innovation+Technology+and+Business+Solutions+Limited,https://www.linkedin.com/jobs/search/?keywords=Innovation+Technology+and+Business+Solutions+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Innovation+Technology+and+Business+Solutions+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Innovation+Technology+and+Business+Solutions+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed Innovation Technology and Business Solutions Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Innovation Technology and"
Brain Labs Digital Ltd,95,['London'],[],"['Global Business Mobility: Senior or Specialist Worker', 'Skilled Worker']","['ai', 'digital', 'tech']",https://www.linkedin.com/search/results/companies/?keywords=Brain+Labs+Digital+Ltd,https://www.linkedin.com/jobs/search/?keywords=Brain+Labs+Digital+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Brain+Labs+Digital+Ltd+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Brain+Labs+Digital+Ltd+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in London.,"Hi, I noticed Brain Labs Digital Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Brain Labs Digital Ltd."
Core Technology Systems Uk Ltd,94,['LONDON'],[],['Skilled Worker'],"['systems', 'tech', 'technology']",https://www.linkedin.com/search/results/companies/?keywords=Core+Technology+Systems+Uk+Ltd,https://www.linkedin.com/jobs/search/?keywords=Core+Technology+Systems+Uk+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,https://www.linkedin.com/search/results/people/?keywords=Core+Technology+Systems+Uk+Ltd+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/search/results/people/?keywords=Core+Technology+Systems+Uk+Ltd+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,The company name suggests a technology or product-oriented business. It is already licensed for the Skilled Worker route. It has a listed presence in LONDON.,"Hi, I noticed Core Technology Systems Uk Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Core Technology Systems Uk Ltd."
